2023-03-02 00:39:57 INFO  WebEventListener:55 - Clicking on button: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #finish]
2023-03-02 00:39:57 INFO  WebEventListener:60 - Clicked on: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #finish]
2023-03-02 00:39:57 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: .complete-header
2023-03-02 00:39:57 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: .complete-header
2023-03-02 00:39:58 INFO  WebEventListener:36 - Navigating to: 'https://www.saucedemo.com/'
2023-03-02 00:39:58 INFO  WebEventListener:40 - Navigated to:'https://www.saucedemo.com/'
2023-03-02 00:39:58 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #user-name
2023-03-02 00:39:58 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #user-name
2023-03-02 00:39:58 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #password
2023-03-02 00:39:58 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #password
2023-03-02 00:39:58 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #login-button
2023-03-02 00:39:58 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #login-button
2023-03-02 00:39:58 INFO  WebEventListener:55 - Clicking on button: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #login-button]
2023-03-02 00:39:58 INFO  WebEventListener:60 - Clicked on: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #login-button]
2023-03-02 00:39:58 INFO  WebEventListener:125 - Trying to find Selenide Element By : By.cssSelector: #add-to-cart-sauce-labs-backpack
2023-03-02 00:39:58 INFO  WebEventListener:130 - Found Selenide Element By : By.cssSelector: #add-to-cart-sauce-labs-backpack
2023-03-02 00:39:58 INFO  WebEventListener:55 - Clicking on button: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #add-to-cart-sauce-labs-backpack]
2023-03-02 00:39:58 INFO  WebEventListener:60 - Clicked on: [[ChromeDriver: chrome on MAC (c68bddce3130febe8e901bf106779f3e)] -> css selector: #add-to-cart-sauce-labs-backpack]
